,Title-Artist,Title-Artist,Lyrics
10,10,Girl Like YouJason Aldean,"[Verse 1]
Love how you close your eyes when I pull you in closer
Tonight's moving fast but we ain't taking it slower
You hit me harder than a drink does
You're gonna take me all the way up
Something about you baby, got me going crazy
I don't know what to do
[Chorus]
I've never met a girl like you
That's ever done it quite like you do
Your kiss is double-barrel bourbon on rocks
Your lips are just the cherry on top
I've never been high like this
Turn out the lights and let me breathe you in
Your eyes are so diamond, body so gold
And I don't want to let you go
I've never met a girl like you
[Verse 2]
Love how you say my name and make it sound so sexy
Love how you do that thing, yeah you know what gets me
I'm talking slow motion all night long
Baby, love you with the lights on
[Chorus]
I've never met a girl like you
That's ever done it quite like you do
Your kiss is double-barrel bourbon on rocks
Your lips are just the cherry on top
I've never been high like this
Turn out the lights and let me breathe you in
Your eyes are so diamond, body so gold
And I don't want to let you go
I've never met a girl like you
[Chorus]
I've never met a girl like you
That's ever done it quite like you do
Your kiss is double-barrel bourbon on rocks
Your lips are just the cherry on top
I've never been high like this
Turn out the lights and let me breathe you in
Your eyes are so diamond, body so gold
And I don't want to let you go
I've never met a girl like you
I've never met a girl like you
"
11,11,Good GirlDustin Lynch,"[Intro]
I got it good, girl
'Cause I got myself a good girl
Yeah, you up and took my whole world
And made it so good, girl
[Verse 1]
You're an angel, you're a keeper
The kinda thing that you gotta lock down
I'm lovin' just livin'
Every minute since you came around
I was lost in the neon lights
'Til the day that you called me yours, yeah
And they say when you know you know
And I know one thing's for sure
[Chorus]
I got it good, girl
'Cause I got myself a good girl
Still can't believe I found you
Can't imagine life without you
I could take you home to mama
Take you to the church right down the street
Yeah, you up and took my whole world
And made it so good, girl
Aw, so good, baby, yeah
[Verse 2]
You know, sometimes, I dream
'Bout 55 years from now
Gonna still be you and me
Watchin' that sun goin' down
I'll still be stealin' your kisses (What else?)
I'll still be holdin' your hand (What else?)
I'll still look at you and I'll pinch myself
Good Lord, I'm a lucky man
[Chorus]
I got it good, girl
'Cause I got myself a good girl
Still can't believe I found you
Can't imagine life without you
I could take you home to mama
Take you to the church right down the street
Yeah, you up and took my whole world
And made it so good, girl
Aw, so good, baby
[Bridge]
I was lost in the neon lights
'Til the day that you called me yours, yeah
They say when you know you know
And I know one thing's for sure
[Chorus]
I got it good, girl
'Cause I got myself a good girl
Still can't believe I found you
Can't imagine life without you
I could take you home to mama
Take you to the church right down the street
Yeah, you up and took my whole world
And made it so good, girl
Aw, so good, baby (I got it good, girl)
[Outro]
('Cause I got myself a) Yeah, good girl
(Still can't believe I) I found you
Good Lord, I'm a lucky man
I could take you home to mama
Take you to the church right down the street
Yeah, you up and took my whole world
And made it so good, girl
Aw, so good, baby
"
12,12,Last ShotKip Moore,"[Verse 1]
Well, baby love's just one of them words that gets thrown around
Like a Jack and Coke, sitting on the bar, it gets watered down
So I ain't gonna say it, no I ain't gonna lie
If you want to known the truth, how I feel about you tonight
[Chorus]
If you were my last breath, I'd just wanna hold ya
If you were my last night I ever had on wheels, I woulda drive you like I stole ya
If you were my last shot, last shot of whiskey
I'd press you to my lips, take a little sip
Swirl you around and around and around
Then I'd shoot ya down
[Verse 2]
So baby let me look at you and see just what I got
If you were my cherry stem I'd tie you in a knot
And if I could inhale you, oh baby I'd be gone
I'd be floating round high as the Colorado sky blowing smoke rings all night long
[Chorus]
If you were my last breath, I'd just wanna hold ya
If you were my last night I ever had on wheels, I woulda drive you like I stole ya
If you were my last shot, last shot of whiskey
I'd press you to my lips, take a little sip
Swirl you around and around and around
Then I'd shoot ya down
Last call, last chance
Last dance I was ever gonna get to take
[Chorus]
If you were my last breath, I'd just wanna hold ya
If you were my last night I ever had on wheels, I woulda drive you like I stole ya
If you were my last shot, last shot of whiskey
I'd press you to my lips, take a little sip
Swirl you around and around and around
Then I'd shoot ya down
Then I'd shoot ya down
[Outro]
If you were my last breath, I'd just wanna hold ya
"
13,13,This Is ItScotty McCreery,"[Verse 1]
Way up in the mountains, four thousand feet high
There's a trail through the trees to a cliff where Carolina meets the sky
Oh, and there's a view I just can't describe
No, we're not there yet, just a few more steps, baby wait
Okay, you can open your eyes
[Chorus]
This is it, this is now, this is what I've been talking 'bout
Looking out, can't you see forever?
Take my hand, just take it in
This is a moment we won't forget
On top of the world, here, together
If there ever was a time for a perfect kiss, this is it
[Verse 2]
Girl, I know that you've been waiting and talking to your friends
Wondering if and wondering where and wondering when
Well, I've been waiting too, holding on to this ring
For the right words to say, for the right time and place, for me to get on one knee
[Chorus]
This is it, this is now, this is what I've been talking 'bout
Looking out, can't you see forever?
Take my hand, just take it in
This is a moment we won't forget
On top of the world here together
If there ever was a time for a perfect kiss, well this is it
This is it
[Bridge]
Now you're walking down the aisle
And I can't help but smile
[Chorus]
This is it, this is now, it's what I've been talking 'bout
Looking out, I can see forever
So take my hand, just take it in (Take it in)
This is a moment we won't forget (Won't forget)
On top of the world, here, together
Surrounded by our family and our friends
If there ever was a time for a perfect kiss
This is it
Yeah, this is it
"
14,14,MillionaireChris Stapleton,"[Chorus 1]
They say ""Love is more precious than gold""
Can't be bought and it can't be sold
I got love, enough to spare
That makes me a millionaire
[Verse 1]
I got a woman with eyes that shine
Down deep, as a diamond mine
She's my treasure, so very rare
She made me a millionaire
[Verse 2]
When we ride around, ride around this old town
In my beat-up car, with the windows down
People look at her and they look at me
And say ""That boy is sure livin' in luxury""
Sweet luxury
[Chorus 2]
'Cause love is more precious than gold
It can't be bought no, never could be sold
I got love, enough to share
That makes me a millionaire
[Interlude]
[Bridge]
When the kisses fall from everywhere
Like riches on a millionaire
When my pockets are empty and the cupboard is bare
I still feel like a millionaire
[Chorus 2]
'Cause love is more precious than gold
It can't be bought and it can't be sold
I got love, enough to spare
That makes me a millionaire
"
15,15,Take It From MeJordan Davis,"[Verse 1]
I think me and you should blow this off
So much for the after-party
Let's tell everybody we got lost
I think me and you should do our own thing
Our own way
At my place, far away
[Chorus]
Take it from me if you want a t-shirt to sleep in
It's my favorite but you can keep it
Looks good baby, you should leave it
Hanging off your shoulder
Now give me them bare feet dancing down the hallway
Smiling at me, running your finger down the wall
You know what I want, I got what you need
Take it from me
[Verse 2]
Baby, you should stop right now, right here
Right where we wanna be
I'll spin you around and let's just see
Where this thing goes
All I know is that I'm all yours, all night
I've got nothing but time
[Chorus]
So take it from me if you want a t-shirt to sleep in
It's my favorite but you can keep it
Looks good baby, you should leave it
Hanging off your shoulder
Now give me them bare feet dancing down the hallway
Smiling at me, running your finger down the wall
You know what I want, I got what you need
Take it from me
Take it from me, yeah
[Bridge]
But you can steal a kiss, I won't call you a thief
But take it from me
What I got to give you can have for free
Just take it from me
[Chorus]
Take it from me if you want a t-shirt to sleep in
It's my favorite but you can keep it
Looks good baby, you should leave it
Hanging off your shoulder
Now give me them bare feet dancing down the hallway
Smiling at me, running your finger down the wall
You know what I want, I got what you need
Take it from me
Just take it from me
[Outro]
Take my word, take my heart
Take my kiss and maybe take it too far
But baby take it from me
Oh, just take it from me
But you can steal a kiss, I won't call you a thief
But take it from me
What I got to give you can have for free
Just take it from me
Oh, just take it from me, yeah
"
16,16,What Makes You CountryLuke Bryan,"[Verse 1]
People talkin' ’bout what is and what ain’t country
What gives ’em the right to wear a pair of beat-up boots?
Is it the size of your tires and your fires, or your wild ass buddies?
Well, give me a minute, let me hit you with some hometown truth
[Pre-Chorus]
You could be a cowboy on the Texas plain
Or a plowboy waitin’ on the rain
We’re all a little different, but we’re all the same
Everybody doin' their own thing
[Chorus 1]
I got my dirt road cred when I was twelve
On a no cab tractor hauling them bales
Backing in boats, fishing limb lines
Running bird dogs through the Georgia pines
Step side cover down in peanut dust
Friday night spotlight, and that was us
It might not have been you, but I can't judge
Just be proud of what makes you country
[Verse 2]
Does it run in your blood?
Did it come from your daddy and mama?
Were you converted by an Alabama song on the radio?
That feels so right
Did you lock eyes with a little green-eyed girl from Jackson?
Tell me what got ya, I just gotta know
[Chorus 2]
Me, I got my Sunday learning in a live oak church
Silver Queen corn in a backyard dirt
Waiting for the fall to finally come along
So I can grab my gun and get my outside on
Step side cover down in peanut dust
Friday night spotlight, and that was us
It might not have been you, but I can't judge
Just be proud of what makes you country
[Brdge]
Might be from a city or a little farm town
Whatever kind of square that you drove around
Do you wear it on your sleeve or keep it deep down?
You know you gotta let it out
[Chorus 1]
I got my dirt road cred back when I was twelve
On a no cab tractor hauling them bales
Backing in boats, fishing limb lines
Running bird dogs through them Georgia pines
Step side cover down in peanut dust
Friday night spotlight, and that was us
It might not have been you, but I ain't judging
And just be proud of what makes you country
Whatever makes you country
[Outro]
You do your kind of country
They doing they kind of country
I do my kind of country
Whatever makes us country
"
17,17,Down To The HonkytonkJake Owen,"[Verse 1]
I got a house down a back road
I got a flag on the front porch
I got a dog named Waylon
I got a driveway that needs pavin'
I got a boat with a two stroke
A couple guaranteed-to-make-ya-laugh jokes
I got friends in low places
Yeah, life is what you make it
[Chorus]
I might not end up in the Hall of Fame
With a star on a sidewalk with my name
Or a statue in my hometown when I'm gone
Nobody gonna name their babies after me
I might not go down in history
But I'll go down to the honky-tonk
[Verse 2]
I got a girl named Shelia
She goes batshit on tequila
Got a job that gets the job done
I got a loan at the bank, it's a big one
The only place you might see my name
Is on a wall, ""For a good time, call""
I'm a local legend on a Friday night
Then a Pabst Blue Ribbon and a neon light
[Chorus]
I might not end up in the Hall of Fame
With a star on a sidewalk with my name
Or a statue in my hometown when I'm gone
Nobody gonna name their babies after me
I might not go down in history
But I'll go down to the honky-tonk
[Bridge]
I go down to the honky-tonk
I go down to the honky-tonk
I go down, I go down to the honky-tonk
I go down to the honky-tonk
I go down to the honky-tonk
I go down, I go down to the honky-tonk
(Yeah, let's go, come on)
[Chorus]
I might not end up in the Hall of Fame
With a star on a sidewalk with my name
Or a statue in my hometown when I'm gone
Nobody gonna name their babies after me
I might not go down in history
But I'll go down to the honky-tonk
[Outro]
I go down to the honky-tonk
I go down to the honky-tonk
I go down, I go down to the honky-tonk
I go down to the honky-tonk
I go down to the honky-tonk
I go down, I go down to the honky-tonk
"
18,18,Love WinsCarrie Underwood,"[Verse 1]
A stray bullet and a mama  cries
Her baby won't be coming home tonight
Sirens screaming down the avenue
Just another story on the evening news, oh, whoa
Politics and prejudice
How the hell'd it'd ever come to this?
When everybody's gotta pick a side
It don't matter if you're wrong or right, no
And so it goes, but I hold onto hope and I won't let go 'cause
[Chorus]
I, I believe you and me are sisters and brothers
And I, I believe we're made to be here for each other
And we'll never fall if we walk hand in hand
Put a world that seems broken together again
Yeah I, I believe in the end love wins
[Verse 2]
Sometimes it takes a lot of faith
To keep believing there will come a day
When the tears and the sadness, the pain and the hate
The struggle, this madness, will all fade away, yeah
[Chorus]
I, I believe you and me are sisters and brothers
And I, I believe we're made to be here for each other
And we'll never fall if we walk hand in hand
Put a world that seems broken together again
Yeah I, I believe in the end love wins
[Bridge]
Love is power, love is a smile
Love reaches out, love is the remedy
Love is the answer, love's an open door
Love is the only thing worth fighting for, yeah
[Chorus]
I, I believe you and me are sisters and brothers
And I, I believe we're made to be here for each other
And we'll never fall if we walk hand in hand
Put a world that seems broken together again
Yeah I, I believe in the end love wins
Oh, yeah, love wins
[Outro]
Love will, love can, love still, love wins
Love will, love can, love still, love wins
"
19,19,Burn OutMidland,"[Chorus]
Watchin' cigarettes burn out
'Til all the neon gets turned out
I was so on fire for you it hurts how
Fast a cigarette can burn out
[Verse 1]
Just watchin' rivers run
Down the side of my bottle
Almost like it's cryin' my tears
Had the world on a string
And then I lost everything
And that's how I wound up here
[Chorus]
Watchin' cigarettes burn out
'Til all the neon gets turned out
There's nothing left but empty glasses now
It's all flashes now
Smokin' memory that ain't nothin' but ashes
In the low lights
These done-me-wrong songs hit me so right
I was so on fire for you it hurts how
Fast a cigarette can burn out
[Verse 2]
If you put your hands on the flame
You've got no right to complain
'Cause you know it's gonna leave a mark
When the glow comes to an end
Like scattered embers in the wind
Leaves you lookin' for a brand new spark
Watchin' cigarettes burn out
[Bridge]
Now with every hit
I'm gonna quit
But who am I kiddin'?
I just can't put you down
So I keep hangin' around
[Chorus]
Watchin' cigarettes burn out
'Til all the neon gets turned out
There's nothing left but empty glasses now
It's all flashes now
Smokin' memory that ain't nothin' but ashes
In the low lights
These done-me-wrong songs hit me so right
I was so on fire for you, it hurts how
Fast a cigarette can burn out
I was so on fire for you, it hurts how
Fast a cigarette can burn out
"
20,20,Here TonightBrett Young,"[Verse 1]
Hmm, if ever I get lost in your eyes tonight
Please just let me stay right there a little bit longer
Underneath the stars, we are on fire
And I don't wanna go if you don't wanna go
[Chorus]
We can just stay here in this minute
Lose all track of time
Let the world spin on without us for a while
I'm tellin' you, we're just one kiss away from heaven
So baby, hold on tight
'Cause I want to get wrapped up in your love
So baby, let's just stay here tonight, tonight
[Verse 2]
I just wanna linger like this on your lips
And taste the salt air on your skin
Hold you in my hands
Anything and everything, you know that I'm all in
[Chorus]
We can just stay here in this minute
Lose all track of time
Let the world spin on without us for a while
I'm tellin' you, we're just one kiss away from heaven
So baby, hold on tight
'Cause I want to get wrapped up in your love
So baby, let's just stay here tonight, tonight
Baby, let's just stay here tonight, tonight, tonight, tonight, yeah
Oh, let's just stay right here tonight
[Bridge]
'Cause I don't wanna go if you don't wanna go
We can just stay here in this minute
Lose all track of time
Let the world spin on without us for a while
[Chorus]
I'm tellin' you, we're just one kiss away from heaven
So baby, hold on tight
'Cause I want to get wrapped up in your love
So baby, let's just stay here tonight, tonight
Baby, let's just stay here tonight, tonight, tonight, tonight, whoa
"
