,Lyrics
If I'm not back again this time tomorrow
Carry on, carry on as if nothing really matters

[Verse 2]
Too late, my time has come
Sends shivers down my spine, body's aching all the time
Goodbye, everybody, I've got to go
Gotta leave you all behind and face the truth
Mama, ooh (Any way the wind blows)
I don't wanna die
I sometimes wish I'd never been born at all

[Guitar Solo]

[Verse 3]
I see a little silhouetto of a man
Scaramouche, Scaramouche, will you do the Fandango?
Thunderbolt and lightning, very, very frightening me
(Galileo) Galileo, (Galileo) Galileo, Galileo Figaro magnifico
But I'm just a poor boy, nobody loves me
He's just a poor boy from a poor family
Spare him his life from this monstrosity
Easy come, easy go, will you let me go?
Bismillah! No, we will not let you go
(Let him go) Bismillah! We will not let you go
(Let him go) Bismillah! We will not let you go
(Let me go) Will not let you go
(Let me go) Will not let you go
(Never, never, never, never let me go) Ah
No, no, no, no, no, no, no
(Oh, mamma mia, mamma mia) Mamma mia, let me go
Beelzebub has a devil put aside for me, for me, for me!

[Verse 4]
So you think you can stone me and spit in my eye?
So you think you can love me and leave me to die?
Oh, baby, can't do this to me, baby!
Just gotta get out, just gotta get right outta here

[Outro]
(Ooh)
(Ooh, yeah, ooh, yeah)
Nothing really matters, anyone can see
Nothing really matters
Nothing really matters to me
Any way the wind blows"
Another One Bites The DustQueen,"[Intro]
Ooh, let's go!

[Verse 1]
Steve walks warily down the street
With the brim pulled way down low
Ain't no sound but the sound of his feet
Machine guns ready to go
Are you ready? Hey, are you ready for this?
Are you hanging on the edge of your seat?
Out of the doorway the bullets rip
To the sound of the beat, yeah

[Chorus]
Another one bites the dust
Another one bites the dust
And another one gone, and another one gone
Another one bites the dust, yeah
Hey, I'm gonna get you too
Another one bites the dust

[Verse 2]
How do you think I'm going to get along
Without you, when you're gone
You took me for everything that I had
And kicked me out on my own
Are you happy, are you satisfied?
How long can you stand the heat?
Out of the doorway the bullets rip
To the sound of the beat
Look out

[Chorus]
Another one bites the dust
Another one bites the dust
And another one gone, and another one gone
Another one bites the dust
Hey, I'm gonna get you, too
Another one bites the dust


[Bridge]
Hey
Oh, take it
Bite the dust, hey
Another one bites the dust
Another one bites the dust, ow
Another one bites the dust, hey hey
Another one bites the dust, hey-eh-eh
Ooh

[Verse 3]
There are plenty of ways you can hurt a man
And bring him to the ground
You can beat him, you can cheat him, you can treat him bad
And leave him when he's down, yeah
But I'm ready, yes I'm ready for you
I'm standing on my own two feet
Out of the doorway the bullets rip
Repeating the sound of the beat
Oh yeah

[Chorus]
Another one bites the dust
Another one bites the dust
And another one gone, and another one gone
Another one bites the dust, yeah
Hey, I'm gonna get you, too
Another one bites the dust


[Outro]
Shoot out
Ay-yeah
Alright"
My Bloodtwenty one pilots,"[Verse 1]
When everyone you thought you knew
Deserts your fight, I'll go with you
You're facin' down a dark hall
I'll grab my light

[Refrain]
And go with you, I'll go with you
I'll go with you, I'll go with you
I'll go with you, I'll go with you
I'll go with you, I'll go with you

[Verse 2]
Surrounded and up against a wall
I'll shred 'em all and go with you
When choices end, you must defend
I'll grab my bat

[Refrain]
And go with you, I'll go with you
I'll go with you, I'll go with you, yeah

[Chorus]
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run

[Verse 3]
If there comes a day
People posted up at the end of your driveway
They're callin' for your head and they're callin' for your name
I'll bomb down on 'em, I'm comin' through
Did they know I was grown with you?
If they're here to smoke, know I'll go with you
Just keep it outside, keep it outside, yeah

[Chorus]
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run

[Verse 4]
If you find yourself in a lion's den
I'll jump right in and pull my pin

[Refrain]
And go with you, I'll go with you
I'll go with you, I'll go with you
(You don't need to run)
I'll go with you, I'll go with you
(You don't need to run)
I'll go with you
My blood, I'll go with you, yeah

[Chorus]
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood"
Somebody To LoveQueen,"[Intro]
Can anybody find me somebody to love?

[Verse 1]
Ooh, each morning I get up I die a little
Can barely stand on my feet
(Take a look at yourself in the mirror and cry)
Take a look in the mirror and cry
Lord what you're doing to me (Yeah, yeah)
I have spent all my years in believing you
But I just can't get no relief, Lord

[Chorus]
Somebody (Somebody)
Ooh, somebody (Somebody)
Can anybody find me somebody to love?
Yeah

[Verse 2]
I work hard (He works hard) every day of my life
I work 'til I ache my bones
At the end (At the end of the day)
I take home my hard-earned pay all on my own (Goes home, goes home on his own)
I get down (Down) on my knees (Knees)
And I start to pray (Praise the Lord)
'Til the tears run down from my eyes, Lord

[Chorus]
Somebody (Somebody)
Ooh, somebody (Please)
Can anybody find me somebody to love?
Oh

[Bridge]
(He works hard) everyday (Everyday)
I try and I try and I try
But everybody wants to put me down
They say I'm goin' crazy
They say I got a lot of water in my brain
No, I got no common sense
(He's got) I got nobody left to believe
No, no, no, no

[Guitar solo]

[Chorus]
(Oh, Lord)
Ooh somebody
Ooh (Somebody)
Anybody find me
Somebody to love
(Can anybody find me someone to love)

[Verse 3]
Got no feel, I got no rhythm
I just keep losing my beat (You just keep losing and losing)
I'm okay, I'm alright (He's alright, he's alright)
I ain't gonna face no defeat (Yeah, yeah)
I just gotta get out of this prison cell
(One day) Someday I'm gonna be free, Lord

[Outro]
Find me somebody to love
Find me somebody to love
Find me somebody to love
Find me somebody to love
Find me somebody to love
Find me somebody to love
Find me somebody to love
Find me somebody to love
Find me somebody to love
Find me somebody to love
Somebody (Somebody)
Somebody (Somebody)
Somebody (Find me)
(Somebody find me somebody to love)
Can anybody find me
Somebody to
Love?
(Find me somebody to love) Ooh
(Find me somebody to love) Find me somebody
(Find me somebody to love) Somebody, somebody, somebody to love
(Find me somebody to love) Find me, find me, find me, find me, find me
(Find me somebody to love) Ooh,  somebody to love
(Find me somebody to love) Ooh, find me, find me, find me somebody to love
(Find me somebody to love) Anybody, anywhere, anybody find me somebody to love, love
Find me, find me, find me"
Under PressureQueen,"[Intro: Freddie Mercury]
Mmm num ba de
Dum bum ba be
Doo buh dum ba beh beh

[Verse 1: David Bowie & Freddie Mercury]
Pressure pushing down on me
Pressing down on you, no man ask for
Under pressure that burns a building down
Splits a family in two
Puts people on streets

[Bridge: Freddie Mercury]
Um ba ba be
Um ba ba be
De day da
Ee day da- that's okay

[Chorus: David Bowie & Freddie Mercury]
It's the terror of knowing what this world is about
Watching some good friends screaming, ""Let me out!""
Pray tomorrow gets me higher
Pressure on people, people on streets

[Verse 2: David Bowie & Freddie Mercury]
Day day de mm hm
Da da da ba ba
Okay
Chipping around, kick my brains around the floor
These are the days it never rains but it pours
Ee do ba be
Ee da ba ba ba
Um bo bo
Be lap
People on streets
Ee da de da de
People on streets
Ee da de da de da de da

[Chorus: David Bowie & Freddie Mercury]
It's the terror of knowing what this world is about
Watching some good friends screaming, 'Let me out'
Pray tomorrow gets me higher, high
Pressure on people, people on streets

[Bridge: David Bowie & Freddie Mercury]
Turned away from it all like a blind man
Sat on a fence but it don't work
Keep coming up with love but it's so slashed and torn
Why, why, why?
Love, love, love, love, love
Insanity laughs under pressure we're breaking

[Verse 3: Freddie Mercury]
Can't we give ourselves one more chance?
Why can't we give love that one more chance?
Why can't we give love, give love, give love, give love
Give love, give love, give love, give love, give love?

[Outro: David Bowie]
Because love's such an old-fashioned word
And love dares you to care for
The people on the (People on streets) edge of the night
And love (People on streets) dares you to change our way of
Caring about ourselves
This is our last dance
This is our last dance
This is ourselves under pressure
Under pressure
Under pressure
Pressure"
We Will Rock YouQueen,"[Verse 1]
Buddy, you're a boy, make a big noise
Playing in the street, gonna be a big man someday
You got mud on your face, you big disgrace
Kicking your can all over the place, singing

[Chorus]
We will, we will rock you
We will, we will rock you

[Verse 2]
Buddy, you're a young man, hard man
Shouting in the street, gonna take on the world someday
You got blood on your face, you big disgrace
Waving your banner all over the place

[Chorus]
We will, we will rock you (Sing it out)
We will, we will rock you

[Verse 3]
Buddy, you're an old man, poor man
Pleading with your eyes, gonna make you some peace someday
You got mud on your face, you big disgrace
Somebody better put you back into your place

[Chorus]
We will, we will rock you, sing it
We will, we will rock you, everybody
We will, we will rock you, hmm
We will, we will rock you, alright

[Guitar Solo]"
Don't Stop Me NowQueen,"[Intro]
Tonight I'm gonna have myself a real good time
I feel alive
And the world, I'll turn it inside out, yeah
I'm floating around in ecstasy, so (Don't stop me now)
(Don't stop me) 'Cause I'm havin' a good time, havin' a good time

[Verse 1]
I'm a shooting star leaping through the sky
Like a tiger defying the laws of gravity
I'm a racing car passing by like Lady Godiva
I'm gonna go, go, go, there's no stopping me

[Pre-Chorus]
I'm burning through the sky, yeah
Two hundred degrees, that's why they call me Mister Fahrenheit
I'm travelling at the speed of light
I wanna make a supersonic man outta you

[Chorus]
(Don't stop me now)
I'm having such a good time, I'm having a ball
(Don't stop me now)
If you wanna have a good time, just give me a call
(Don't stop me now) 'Cause I'm having a good time
(Don't stop me now) Yes, I'm having a good time
I don't wanna stop at all, yeah

[Verse 2]
I'm a rocket ship on my way to Mars on a collision course
I am a satellite, I'm out of control
I'm a sex machine ready to reload
Like an atom bomb about to, oh, oh, oh, oh, oh, explode!

[Pre-Chorus]
I'm burning through the sky, yeah
Two hundred degrees, that's why they call me Mister Fahrenheit
I'm travelling at the speed of light
I wanna make a supersonic woman of you

[Bridge]
(Don't stop me, don't stop me, don't stop me) Hey, hey, hey
(Don't stop me, don't stop me, ooh, ooh, ooh) I like it
(Don't stop me, don't stop me) Have a good time, good time
(Don't stop me, don't stop me) Woah
Let loose, honey, all right

[Guitar Solo]

[Pre-Chorus]
Oh, I'm burning through the sky, yeah
Two hundred degrees, that's why they call me Mister Fahrenheit, hey
Travelling at the speed of light
I wanna make a supersonic man outta you (Yeah, yeah)

[Chorus]
(Don't stop me now)
I'm having such a good time, I'm having a ball
(Don't stop me now)
If you wanna have a good time, just give me a call (Ooh, alright)
(Don't stop me now) 'Cause I'm having a good time (Yeah, yeah)
(Don't stop me now) Yes, I'm having a good time
I don't wanna stop at all

[Outro]
Ah, da da da da
Da da ah ah
Ah da da, ah ah ah
Ah, da da
Ah, da da ah ah
Ooh, ooh ooh, ooh ooh"
You're Somebody Elseflora cash,"[Verse 1: Cole Randall]
I saw the part of you
That only when you're older, you will see too
You will see too
I held the better cards
But every stroke of luck has gotta bleed through
It's gotta bleed through
You held the balance of the time
That only blindly I could read you
But I could read you
It's like you told me
Go forward slowly
It's not a race to the end

[Chorus: Cole Randall]
Well, you look like yourself
But you're somebody else
Only it ain't on the surface
Well, you talk like yourself
No, I hear someone else though
Now you're making me nervous

[Verse 2: Cole Randall]
You were the better part
Of every bit of beating heart that I had
Whatever I had
I finally sat alone
Pitch black flesh and bone
Couldn't believe that you were gone

[Chorus: Cole Randall]
Well, you look like yourself
But you're somebody else
Only it ain't on the surface
Well, you talk like yourself
No, I hear someone else though
Now you're making me nervous

Well, you look like yourself
But you're somebody else
Only it ain't on the surface (Surface)
Well, you talk like yourself
No, I hear someone else though
Now you're making me nervous (Nervous)

[Bridge: Cole Randall - Distorted voice]
Where are we?
Where are we?

[Chorus: Cole Randall]
Well, you look like yourself
But you're somebody else
Only it ain't on the surface
Well, you talk like yourself
No, I hear someone else though
Now you're making me nervous

Well, you look like yourself
But you're somebody else
Only it ain't on the surface
Well, you talk like yourself
No, I hear someone else though
Now you're making me nervous

[Outro: Cole Randall]
I saw the part of you
That only when you're older, you will see to
You will see too"
Guiding LightMumford,"[Intro]
1, 2, 3

[Verse 1]
All day permanent red
The glaze on my eyes
When I heard your voice
The distance caught me by surprise again
And I know you claim that you're alright

[Verse 2]
But fix your eyes on me
I guess I'm all you have
And I swear you'll see the dawn again

[Chorus]
Well I know I had it all on the line
But don't just sit with folded hands and become blind
'Cause even when there is no star in sight
You'll always be my only guiding light

[Verse 3]
Relate to my youth
Well I'm still in awe of you
Discover some new truth
That was always wrapped around you

[Verse 4]
But don’t just slip away in the night
And don’t just hurl your words from on high

[Chorus]
Well I know I had it all on the line
But don’t just sit with folded hands and become blind
'Cause even when there is no star in sight
You'll always be my only guiding light

[Bridge]
If we come back and we’re broken
Unworthy and ashamed
Give us something to believe in
And you know we’ll go your way

[Chorus]
'Cause I know I had it all on the line
But don't just sit with folded hands and become blind
'Cause even when there is no star in sight
You'll always be my only guiding light
And I know I had it all on the line
But don't just sit with folded hands and become blind
'Cause even when there is no star in sight
You'll always be my only guiding light"
We Are The ChampionsQueen,"[Verse 1]
I've paid my dues
Time after time
I've done my sentence
But committed no crime
And bad mistakes
I've made a few
I've had my share of sand kicked in my face
But I've come through
(And I need to go on and on, and on, and on)

[Chorus]
We are the champions, my friends
And we'll keep on fighting till the end
We are the champions
We are the champions
No time for losers
'Cause we are the champions
Of the world

[Verse 2]
I've taken my bows
And my curtain calls
You brought me fame and fortune and everything that goes with it
I thank you all
But it's been no bed of roses
No pleasure cruise
I consider it a challenge before the whole human race
And I ain't gonna lose
(And I need just go on and on, and on, and on)

[Chorus]
We are the champions, my friends
And we'll keep on fighting till the end
We are the champions
We are the champions
No time for losers
'Cause we are the champions
Of the world

[Outro]
We are the champions, my friends
And we'll keep on fighting till the end, oh
We are the champions
We are the champions
No time for losers
'Cause we are the champions..."
Killer QueenQueen,"[Verse 1]
She keeps a Moët et Chandon in her pretty cabinet
Let them eat cake she says, just like Marie Antoinette
A built-in remedy for Khrushchev and Kennedy (Ooh, ooh)
At anytime an invitation, you can't decline (Ooh, ooh)
Caviar and cigarettes, well versed in etiquette
Extraordinarily nice

[Chorus]
She's a Killer Queen
Gunpowder, gelatine
Dynamite with a laser beam
Guaranteed to blow your mind (Pa-pa-pa-pa)
(Anytime)
Ooh
Recommended at the price
Insatiable in appetite
Wanna try?

[Verse 2]
To avoid complications, she never kept the same address
In conversation, she spoke just like a baroness
Met a man from China, went down to Geisha Minah (Ooh, ooh)
(Killer, killer, she's a killer Queen)
Then again incidentally, if you're that way inclined
Perfume came naturally from Paris (Naturally)
For cars, she couldn't care less
Fastidious and precise

[Chorus]
She's a Killer Queen
Gunpowder, gelatine
Dynamite with a laser beam
Guaranteed to blow your mind
(Pa-pa-pa-pa)
Anytime

[Guitar Solo]

[Bridge]
Drop of a hat she's as willing as, playful as a pussy cat
(Ooh)
Then momentarily out of action (Ooh)
Temporarily out of gas (Ta-taaa)
To absolutely drive (Drive you wild, wild)
She's all out to get you

[Chorus]
She's a Killer Queen
Gunpowder, gelatine
Dynamite with a laser beam (Pa-pa-pa-ra)
Guaranteed to blow your mind
(Anytime)
Ooh
Recommended at the price
Insatiable in appetite
Wanna try?

[Outro]
Wanna try?"
Bad LiarImagine Dragons,"[Verse 1]
Oh, hush, my dear, it's been a difficult year
And terrors don’t prey on innocent victims
Trust me, darlin', trust me darlin'
It’s been a loveless year
I'm a man of three fears:
Integrity, faith, and crocodile tears
Trust me, darlin', trust me, darlin'

[Pre-Chorus]
So look me in the eyes (Eyes), tell me what you see (You see)
Perfect paradise (—Dise), tearin' at the seams (Seams)
I wish I could escape it (Escape), I don't wanna fake it
Wish I could erase it (Erase), make your heart believe

[Chorus]
But I'm a bad liar, bad liar
Now you know, now you know
I'm a bad liar, bad liar
Now you know, you’re free to go

[Verse 2]
Did all my dreams never mean one thing?
Does happiness lie in a diamond ring?
Oh, I’ve been askin' for—
Oh, I’ve been askin' for problems, problems, problems
I wage my war, on the world inside
I take my gun to the enemy's side
Oh, I've been askin’ for— (Trust me, darlin')
Oh, I've been askin' for (Trust me, darlin') problems, problems, problems

[Pre-Chorus]
So look me in the eyes (Eyes), tell me what you see (You see)
Perfect paradise (—Dise), tearin' at the seams (Seams)
I wish I could escape it (Escape), I don't wanna fake it
Wish I could erase it (Erase), make your heart believe

[Chorus]
But I'm a bad liar, bad liar
Now you know, now you know
I'm a bad liar, bad liar
Now you know, you're free to go

[Bridge]
I can't breathe, I can't be
I can't be what you want me to be
Believe me, this one time
Believe me

[Chorus]
I'm a bad liar, bad liar
Now you know, now you know
I'm a bad liar, bad liar
Now you know, you're free to go

[Outro]
Oh-oh-oh
Please believe me
Please believe me"
ShotgunGeorge Ezra,"[Verse 1]
Home grown alligator, see you later
Gotta hit the road, gotta hit the road
Something changed in the atmosphere
Architecture unfamiliar
I could get used to this

[Pre-Chorus]
Time flies by in the yellow and green
Stick around and you'll see what I mean
There's a mountain-top that I'm dreamin' of
If you need me you know where I'll be

[Chorus]
I'll be ridin' shotgun underneath the hot sun
Feelin' like a someone
I'll be ridin' shotgun underneath the hot sun
Feelin' like a someone

[Verse 2]
South of the Equator, navigator
Gotta hit the road, gotta hit the road
Deep sea divin' 'round the clock
Bikini bottoms, lager tops
I could get used to this

[Pre-Chorus]
Time flies by in the yellow and green
Stick around and you'll see what I mean
There's a mountain-top that I'm dreamin' of
If you need me you know where I'll be

[Chorus]
I'll be ridin' shotgun underneath the hot sun
Feelin' like a someone
I'll be ridin' shotgun underneath the hot sun
Feelin' like a someone

[Bridge]
We got two in the front
Two in the back
Sailin' along
And we don't look back
(Back, back, back-back-back-back...)

[Pre-Chorus]
Time flies by in the yellow and green
Stick around and you'll see what I mean
There's a mountain-top that I'm dreamin' of
If you need me you know where I'll be

[Chorus]
I'll be ridin' shotgun underneath the hot sun
Feelin' like a someone
I'll be ridin' shotgun underneath the hot sun
Feelin' like a someone
I'll be ridin' shotgun underneath the hot sun
Feelin' like a someone
I'll be ridin' shotgun underneath the hot sun
Feelin' like a someone
I'll be ridin' shotgun underneath the hot sun
Feelin' like a someone
I'll be ridin' shotgun underneath the hot sun
Feelin' like a someone, a someone, a someone, a someone..."
ZeroImagine Dragons,"[Verse 1]
I find it hard to say the things I want to say the most
Find a little bit of steady as I get close
Find a balance in the middle of the chaos
Send me low, send me high, send me never demigod
I remember walking in the cold of November
Hoping that I make it to the end of December
27 years and the end on my mind
But holding to the thought of another time

[Pre-Chorus]
But looking to the ways of the ones before me
Looking for the path of the young and lonely
I don't wanna hear about what to do
I don’t wanna do it just to do it for you

[Chorus]
Hello, hello
Let me tell you what it's like to be a zero, zero
Let me show you what it's like to always feel, feel
Like I’m empty and there's nothing really real, real
I'm looking for a way out
Hello, hello
Let me tell you what it's like to be a zero, zero
Let me show you what it's like to never feel, feel
Like I'm good enough for anything that's real, real
I'm looking for a way out

[Verse 2]
I find it hard to tell you how I wanna run away
I understand it always makes you feel a certain way
I find a balance in the middle of the chaos
Send me up, send me down, send me ’nother demigod
I remember walking in the heat of the summer
Wide-eyed one with a mind full of wonder
27 years and I’ve nothing to show
Falling from the dove to the dark of the crow

[Pre-Chorus]
Looking to the ways of the ones before me
Looking for the path of the young and lonely
I don't wanna hear about what to do, no
I don’t wanna do it just to do it for you

[Chorus]
Hello, hello
Let me tell you what it's like to be a zero, zero
Let me show you what it's like to always feel, feel
Like I'm empty and there’s nothing really real, real
I'm looking for a way out
Hello, hello
Let me tell you what it's like to be a zero, zero
Let me show you what it's like to never feel, feel
Like I'm good enough for anything that's real, real
I'm looking for a way out

[Bridge]
Let me tell you 'bout it, well let me tell you 'bout it
Maybe you're the same as me
Let me tell you 'bout it, well let me tell you 'bout it
They say the truth will set you free

[Chorus]
Hello, hello
Let me tell you what it's like to be a zero, zero
Let me show you what it's like to always feel, feel
Like I'm empty and there's nothing really real, real
I'm looking for a way out
Hello, hello
Let me tell you what it's like to be a zero, zero
Let me show you what it's like to never feel, feel
Like I'm good enough for anything that's real, real
I'm looking for a way out"
I Want To Break FreeQueen,"[Verse 1]
I want to break free
I want to break free
I want to break free from your lies
You're so self-satisfied, I don't need you
I've got to break free
God knows, God knows I want to break free

[Verse 2]
I've fallen in love
I've fallen in love for the first time
And this time I know it's for real
I've fallen in love, yeah
God knows, God knows I've fallen in love

[Bridge]
It's strange but it's true, yeah
I can't get over the way you love me like you do
But I have to be sure
When I walk out that door
Oh, how I want to be free, baby
Oh, how I want to be free
Oh, how I want to break free

[Verse 3]
But life still goes on
I can't get used to living without, living without
Living without you by my side
I don't want to live alone, hey
God knows, got to make it on my own
So baby, can't you see?
I've got to break free

[Outro]
I've got to break free
I want to break free, yeah
I want, I want, I want, I want to break free"
Get UpShinedown,"[Intro]
Get up, get up
Get up, get up
Get up, get up
Get up, get up, get up, get up
Get up, get up, get up, get up

[Verse 1]
I know you're clingin' to the light of day
To tell you everything's A-okay
And medication don't do much
Yeah, it just numbs the brain

[Verse 2]
Guess you might say I'm a little intense
I'm on the bright side of bein' hell bent
So, take it from me, you're not the only one
Who can't see straight (Can't see straight)

[Pre-Chorus]
If you were ever in doubt
Don't sell yourself short, you might be bulletproof
Hard to move mountains when you're paralyzed
But you gotta try, and I'm callin' out

[Chorus]
Get up, get up, get a move on
Get up, get up, what's takin' so long
Get up, get up, get a move on
Stop stallin', I'm callin' out
Get up, get up, get a move on
Get up, get up, ain't nothin' wrong
'Cause I believe you can be whatever
And I agree you can do much better, trust me (Trust me)

[Verse 3]
Everybody wants to sing their song
So, Marvin Gaye, ""What's Going On?""
Ain't nothin' normal when it comes to you and me
I'd rather twist myself in knots than watch you give up on your dreams

[Pre-Chorus]
If you were ever in doubt
Don't sell yourself short, you might be bulletproof
Hard to move mountains when you're paralyzed
But you gotta try, so I'm callin' out

[Chorus]
Get up, get up, get a move on
Get up, get up, what's takin' so long
Get up, get up, get a move on
Stop stallin', I'm callin' out
Get up, get up, get a move on
Get up, get up, ain't nothin' wrong
'Cause I believe you can be whatever
And I agree you can do much better, trust me

[Interlude]
Yeah, I don't know why I never talk about it
I guess that's probably part of the problem
Yeah
Sometimes you're wrong... sometimes you're right
Just gotta keep movin'
Yeah
I'm just gonna keep movin'
Today, tomorrow, and the next

[Chorus]
Get up, get up, get a move on
Get up, get up, what's takin' so long
Get up, get up, get a move on
Stop stallin', I'm callin' out
Get up, get up, get a move on
Get up, get up, ain't nothin' wrong
'Cause I believe you can be whatever
And I agree you can do much better, trust me"
Love It If We Made ItThe 1975,"[Verse 1]
We're fucking in a car, shooting heroin
Saying controversial things just for the hell of it
Selling melanin and then suffocate the black men
Start with misdemeanours and we'll make a business out of them
And we can find out the information
Access all the applications
That are hardening positions based on miscommunication
Oh, fuck your feelings
Truth is only hearsay
We're just left to decay
Modernity has failed us

[Chorus]
